name,ID,ring,long,lat,height,nrRSP,nrTBB,nrLBA,nrHBA,nrPowec,HBAsplit,LBAcal,Aartfaac,ETRS-X,ETRS-Y,ETRS-Z
CS001,1,C,6.868048299999999,52.9110414,54.43,12,6,96,48,1,True,True,True,3826954.2486042017,460947.0947926392,5064622.940722795
CS002,2,C,6.869302799999999,52.914847200000004,55.9,12,6,96,48,1,True,True,True,3826609.601569519,460990.5828611542,5064879.514155137
CS003,3,C,6.869328299999999,52.915933900000006,55.19,12,6,96,48,1,True,True,True,3826513.189196481,460980.6958296579,5064951.870265206
CS004,4,C,6.868091099999999,52.9147486,55.94,12,6,96,48,1,True,True,True,3826628.064356788,460910.70667839143,5064872.929466263
CS005,5,C,6.8696561,52.914101699999996,57.58,12,6,96,48,1,True,True,True,3826673.47250941,461022.216062517,5064830.826853557
CS006,6,C,6.87108883,52.9144497,57.78,12,6,96,48,1,True,True,True,3826631.390501122,461114.223539241,5064854.339386806
CS007,7,C,6.8715772,52.91578810000001,56.56,12,6,96,48,1,True,True,True,3826508.763476212,461132.53633000934,5064943.179446164
CS011,11,C,6.8737881,52.914190299999994,53.68,12,6,96,48,1,True,True,True,3826630.071143107,461296.96025691647,5064833.661327925
CS013,13,C,6.8672968999999995,52.917714399999994,54.98,12,6,96,48,1,True,True,True,3826372.4673560886,460826.1121782168,5065071.178444095
CS017,17,C,6.8778067,52.9158697,59.23,12,6,96,48,1,True,True,True,3826453.010312218,461547.89713892015,5064950.785118039
CS021,21,C,6.8622447,52.9176275,52.73,12,6,96,48,1,True,True,True,3826419.399785091,460489.47004743,5065063.552383092
CS024,24,C,6.873810300000001,52.908000300000005,55.8,12,6,96,48,1,True,True,True,3827176.7141257436,461364.362037096,5064419.934475806
CS026,26,C,6.882193300000001,52.9163728,55.42,12,6,96,48,1,True,True,True,3826371.0392233985,461835.2240138881,5064981.505417614
CS028,28,C,6.8755527999999995,52.9254167,52.66,12,6,96,48,1,True,True,True,3825625.7067009504,461295.4263319942,5065586.113566243
CS030,30,C,6.860985,52.9225878,58.01,12,6,96,48,1,True,True,True,3825995.445862581,460353.113375675,5065400.587421927
CS031,31,C,6.859721899999999,52.9177706,53.61,12,6,96,48,1,True,True,True,3826427.5852446947,460319.5338586033,5065073.856569673
CS032,32,C,6.8603725,52.9121544,60.55,12,6,96,48,1,True,True,True,3826921.5334861595,460423.0399407212,5064702.516558106
CS101,101,C,6.880501400000001,52.9223181,57.78,12,6,96,48,1,True,True,True,3825862.051414207,461659.1700663056,5065382.308750462
CS103,103,C,6.896372500000001,52.91604029999999,56.52,12,6,96,48,1,True,True,True,3826286.5937817786,462785.7602521648,5064960.071102011
CS201,121,C,6.882971899999999,52.912854700000004,56.08,12,6,96,48,1,True,True,True,3826675.2326071505,461924.69837922323,5064745.947211791
CS301,141,C,6.867711900000001,52.9054208,58.75,12,6,96,48,1,True,True,True,3827454.8977572313,460984.598646017,5064249.156898414
CS302,142,C,6.8487681,52.90186,67.32,12,6,96,48,1,True,True,True,3827926.0517401244,459757.40311895555,5064016.982025689
CS401,161,C,6.85568,52.9138667,57.08,12,6,96,48,1,True,True,True,3826806.229181747,460091.2201962805,5064814.657907041
CS501,181,C,6.866594999999999,52.9263631,56.53,12,6,96,48,1,True,True,True,3825616.6683649165,460687.5428564047,5065652.693718488
RS106,106,R,6.9854983,52.87440529999999,29.82,12,6,96,48,1,True,True,True,3829213.9206213458,469184.58566435345,5062143.593348911
RS205,125,R,6.896541099999999,52.8571108,59.79,12,6,96,48,1,True,True,True,3831478.963153105,463425.21198076016,5061005.628720176
RS208,128,R,6.9196231,52.66956170000001,60.66,12,6,96,48,1,True,True,True,3847787.740687019,466970.6536588415,5048377.103533483
RS210,130,R,6.8742114,52.33104470000001,69.59,12,6,96,48,1,True,True,True,3877832.497696694,467498.43439630565,5025452.6503371
RS305,145,R,6.773236900000001,52.89959029999999,61.69,12,6,96,48,1,True,True,True,3828725.490076232,454734.13181245927,5063860.132991865
RS306,146,R,6.743072200000001,52.8905881,61.76,12,6,96,48,1,True,True,True,3829757.858262276,452812.1658642597,5063255.818634666
RS307,147,R,6.681690299999999,52.80330920000001,65.55,12,6,96,48,1,True,True,True,3837931.7939263573,449610.02154185757,5057392.837978617
RS310,150,R,6.1386128,52.764840299999996,40.91,12,6,96,48,1,True,True,True,3845395.764047438,413575.5334065562,5054784.015732116
RS406,166,R,6.7505064,53.0183578,65.62,12,6,96,48,1,True,True,True,3818431.0310726613,451975.3163431634,5071825.153659964
RS407,167,R,6.7848725000000005,53.09236189999999,49.64,12,6,96,48,1,True,True,True,3811613.626862368,453486.7705043088,5076762.447581826
RS409,169,R,6.3574842,52.98047220000001,59.65,12,6,96,48,1,True,True,True,3824784.4052346093,426144.6947737789,5069282.986172722
RS503,183,R,6.8506333,52.9445961,58.65,12,6,96,48,1,True,True,True,3824138.570359029,459428.79025190324,5066877.33949608
RS508,188,R,6.953694199999999,53.2403583,45.51,12,6,96,48,1,True,True,True,3797172.706443077,463119.394015932,5086633.130954482
RS509,189,R,6.7851967,53.4093034,49.27,12,6,96,48,1,True,True,True,3783545.8910614257,450169.1230586648,5097866.419767147
DE601,201,E,6.883569400000001,50.522957500000004,396.3,24,12,96,96,1,True,True,True,4034094.793529399,487005.3604004461,4900282.458646583
DE602,202,E,11.2876647,48.501475799999994,515.2,24,12,96,96,1,True,True,True,4152549.5342193744,828831.6106884525,4754392.2379274415
DE603,203,E,11.7106983,50.9796706,384.61,24,12,96,96,1,True,True,True,3940269.683630998,816757.9355799817,4932419.845400287
DE604,204,E,13.015889699999999,52.4381292,87.02,24,12,96,96,1,True,True,True,3796372.7607763875,877570.7384729275,5032739.446396271
DE605,205,E,6.4241444,50.8972719,147.28,24,12,96,96,1,True,True,True,4005687.286713056,451019.13209197536,4926458.940072561
FR606,206,E,2.1926264,47.3759658,192.45,24,12,96,96,1,True,True,True,4323987.607174652,165553.5603347981,4670311.935947137
SE607,207,E,11.9302386,57.39906170000001,50.34,24,12,96,96,1,True,True,True,3370256.983279328,712082.4353479656,5350016.756341424
UK608,208,E,-1.4342538999999999,51.1439472,137.66,24,12,96,96,1,True,True,True,4008402.8957969416,-100361.12031241135,4943714.160085045
DE609,210,E,9.969232199999999,53.69880920000001,69.27,24,12,96,96,1,True,True,True,3727184.9518829463,655139.7392412807,5117024.024059177
PL610,211,E,17.074169199999996,52.2759289,120.82,24,12,96,96,2,True,True,True,3738428.5795395384,1148246.1421440085,5021742.987862308
PL611,212,E,20.489613100000003,49.964938599999996,305.42,24,12,96,48,2,True,True,True,3850964.550008393,1439020.9853309582,4860515.203388016
PL612,213,E,20.589750600000002,53.593904200000004,178.38,24,12,96,96,2,True,True,True,3551455.03482817,1334179.1738309006,5110190.754987407
IE613,214,E,-7.921365600000001,53.0951167,105.99,24,12,96,96,2,True,True,True,3801659.953412636,-528968.9219294243,5076991.609746311
LV614,215,E,21.855831100000003,57.557061700000006,42.58,24,12,96,96,2,True,True,True,3183297.0032181796,1276827.524399053,5359470.396545857
FI901,901,E,20.7609103,69.0714225,533.25,12,6,48,48,1,True,True,True,2136786.9434311157,810021.4808846068,5935321.524402005
CN001,0,C,6.8666964,52.9102978,58.6,0,0,0,0,0,True,True,True,3827033.157779683,460864.9901871269,5064576.362769128
